geoid10,name10,district_name,hvi_score,hsi_score,hei_score
42101002100,21,South,0.63922385,0.50226232,-1.48142859
42101002200,22,South,-1.76931792,-3.18329765,-1.65846891
42101002300,23,South,-4.36277917,-6.8844025,-1.19357932
42101002400,24,South,-4.46261617,-7.10761774,-1.38230792
42101034803,348.03,Lower Far Northeast,-5.68446842,-7.83004182,-0.35861868
42101034702,347.02,Lower Far Northeast,-5.31161108,-7.55848159,-0.59141518
42101000401,4.01,Central,-2.83314834,-4.73594266,-1.87442882
42101036202,362.02,Lower Far Northeast,-5.1634878,-7.26268997,-0.02255419
42101003800,38,South,-4.41885758,-7.21922072,0.14799749
42101008302,83.02,West,4.33527635,5.88360815,0.83235034
42101017602,176.02,North,5.65296057,7.86657702,3.83026485
42101001002,10.02,Central,-7.19923183,-10.42964227,-2.0904977
42101001001,10.01,Central,-5.63483554,-8.11746497,-1.1670822
42101000402,4.02,Central,-4.64425806,-7.40431761,-0.85584806
42101019000,190,North,0.81180068,0.42896418,0.13028867
42101019100,191,North,1.44719978,1.44991395,2.20844908
42101019200,192,North,3.06055838,3.69901212,1.70516711
42101019700,197,North,5.06828282,6.63024907,2.76352581
42101019800,198,North,6.14958263,8.35759798,2.54929414
42101019900,199,North,5.44763124,7.47771338,2.80774432
42101020000,200,North,6.83660642,9.65433588,-0.35485364
42101020200,202,North,6.26712813,9.29013165,0.70113927
42101020300,203,North,6.31553839,9.01513067,1.36307213
42101020400,204,North,4.387879,6.1834705,1.29694825
42101020500,205,North,5.193561,7.44190205,2.00178719
42101002500,25,South,-3.42750964,-4.97923531,-1.17373777
42101002900,29,South,-3.86799758,-6.20002598,-0.52309164
42101010200,102,West,6.23263336,8.97061086,1.05096345
42101010300,103,West,4.15238754,5.97105533,0.16352973
42101010400,104,West,5.50361611,8.16801877,1.48073848
42101010500,105,West,8.16633932,12.17763897,4.44473772
42101010600,106,West,5.855747,8.79722989,2.83967899
42101010700,107,West,5.54068649,8.26701533,0.52280538
42101010800,108,West,4.00375609,6.18840548,0.68745838
42101010900,109,West,3.86573953,5.76739832,0.00360731
42101016000,160,River Wards,-5.63139428,-8.7465971,-1.12615626
42101011000,110,West Park,6.14588755,9.30836101,1.88498973
