geoid10,name10,year,hsi_score,hei_score,hvi_score,n_veryhigh
42101010500,105,2023,12.17763897,4.44473772,8.16633932,1
42101014800,148,2023,12.45080249,-0.18712626,8.1449934,1
42101016500,165,2023,11.20614152,2.38694277,7.45237966,1
42101017601,176.01,2023,10.24000777,4.46384621,7.18890088,1
42101014900,149,2023,10.36425445,1.8754434,6.9292799,1
42101020000,200,2023,9.65433588,-0.35485364,6.83660642,1
42101006600,66,2023,10.17698716,1.5015779,6.82149103,1
42101009400,94,2023,9.66567484,1.51102985,6.75932667,1
42101017300,173,2023,9.69385722,0.03571326,6.67063689,1
42101016902,169.02,2023,9.57429375,1.72604257,6.54923542,1
42101024500,245,2023,9.98225085,0.94634233,6.42501621,1
42101020300,203,2023,9.01513067,1.36307213,6.31553839,1
42101020200,202,2023,9.29013165,0.70113927,6.26712813,1
42101010200,102,2023,8.97061086,1.05096345,6.23263336,1
42101017702,177.02,2023,8.60915257,3.88763228,6.17916403,1
42101024100,241,2023,9.44555552,3.72948228,6.17502225,1
42101016300,163,2023,8.95607266,4.04357543,6.15582963,1
42101019800,198,2023,8.35759798,2.54929414,6.14958263,1
42101011000,110,2023,9.30836101,1.88498973,6.14588755,1
42101017202,172.02,2023,8.81017458,2.15657226,6.12417509,1
42101015102,151.02,2023,9.31603306,2.33306106,6.11393485,1
42101017500,175,2023,8.55741462,4.18198742,6.06518313,1
42101027700,277,2023,8.4895359,2.65635627,5.90033564,1
42101015200,152,2023,9.03177737,0.54474965,5.88843074,1
42101007101,71.01,2023,8.63184645,2.54043708,5.87833651,1
42101010600,106,2023,8.79722989,2.83967899,5.855747,1
42101016200,162,2023,8.50329972,2.46011769,5.67834684,1
42101008102,81.02,2023,7.66404911,0.89388396,5.67833423,1
42101017602,176.02,2023,7.86657702,3.83026485,5.65296057,1
42101006900,69,2023,8.98156156,0.9866651,5.55742973,1
42101010700,107,2023,8.26701533,0.52280538,5.54068649,1
42101017400,174,2023,8.06034327,2.02866019,5.50620408,1
42101010400,104,2023,8.16801877,1.48073848,5.50361611,1
42101019900,199,2023,7.47771338,2.80774432,5.44763124,1
42101024900,249,2023,7.89562211,1.06967593,5.41904008,1
42101016400,164,2023,7.49716517,3.18771664,5.2485502,1
42101020500,205,2023,7.44190205,2.00178719,5.193561,1
42101007200,72,2023,7.52756862,1.36692659,5.17391425,1
42101015101,151.01,2023,7.73903818,0.84419206,5.1738151,1
42101009500,95,2023,7.16661207,0.5775904,5.17092072,1
42101008301,83.01,2023,7.70030661,2.07474453,5.10387584,1
42101020101,201.01,2023,7.5203455,1.69746346,5.08683161,1
42101019700,197,2023,6.63024907,2.76352581,5.06828282,1
42101019501,195.01,2023,6.77119038,3.62792157,5.06818721,1
42101029400,294,2023,7.127228,3.72393719,5.05721919,1
42101016702,167.02,2023,7.23274392,1.19055261,5.02673057,1
42101003600,36,2023,7.2313356,2.16048118,5.02174378,1
42101016800,168,2023,7.42672488,1.29473197,4.94491413,1
42101016701,167.01,2023,7.03202551,0.89317313,4.78018553,1
42101029100,291,2023,6.58968302,2.82218052,4.77612569,1
42101007102,71.02,2023,6.89504031,0.83789355,4.77106429,1
42101028000,280,2023,6.74160556,0.97494354,4.67267892,1
42101026700,267,2023,6.34344383,1.0079473,4.6345838,1
42101004101,41.01,2023,6.22377134,2.95590763,4.6,1
42101024600,246,2023,7.14257559,1.01815021,4.58113627,1
42101017201,172.01,2023,6.26142049,1.19159213,4.57466282,1
42101008101,81.01,2023,6.42926026,1.02034713,4.57457417,1
42101031402,314.02,2023,3.46606962,2.50783342,4.56,1
42101011100,111,2023,6.75302443,0.17145418,4.55289406,0
42101014100,141,2023,6.57597642,2.62702947,4.49338077,0
42101028300,283,2023,6.42291451,0.35600374,4.44490841,0
42101008500,85,2023,5.86310667,0.93516625,4.42433583,0
42101028200,282,2023,6.15299483,-0.20215323,4.400811,0
42101016901,169.01,2023,6.44502624,0.13402316,4.3998775,0
42101020400,204,2023,6.1834705,1.29694825,4.387879,0
42101019502,195.02,2023,5.66103864,3.90705775,4.34101113,0
42101028500,285,2023,5.79270016,1.55862425,4.33666991,0
42101008302,83.02,2023,5.88360815,0.83235034,4.33527635,0
42101009600,96,2023,6.04720884,0.99959022,4.32985139,0
42101028800,288,2023,5.44371762,2.41256481,4.18299397,0
42101027800,278,2023,5.793403,1.07039539,4.15577353,0
42101010300,103,2023,5.97105533,0.16352973,4.15238754,0
42101013900,139,2023,6.36047599,2.6476701,4.08491594,0
42101014500,145,2023,6.14987738,0.33762124,4.02905455,0
42101010800,108,2023,6.18840548,0.68745838,4.00375609,0
42101005600,56,2023,6.79278591,-0.87117252,3.99302754,0
42101008400,84,2023,5.10465616,0.29783097,3.97728947,0
42101989100,9891,2023,7.01296077,0.0,3.94959278,0
42101011900,119,2023,6.03092337,0.11140392,3.94893557,0
42101025200,252,2023,6.22317403,1.01858778,3.91752796,0
42101007400,74,2023,5.61917493,-0.03322367,3.87516187,0
42101020102,201.02,2023,5.18144283,0.29444258,3.86914492,0
42101010900,109,2023,5.76739832,0.00360731,3.86573953,0
42101024200,242,2023,6.07872087,-0.72244302,3.86247921,0
42101017100,171,2023,5.71032676,0.44910927,3.79060398,0
42101013200,132,2023,5.68615462,1.71218442,3.78086753,0
42101006300,63,2023,5.68261492,1.04080244,3.77470859,0
42101017701,177.01,2023,4.78651389,1.59638104,3.73703533,0
42101003200,32,2023,5.01474084,0.91132183,3.64611538,0
42101028600,286,2023,4.82427688,0.86424491,3.64016009,0
42101007000,70,2023,5.11689537,1.23952882,3.60845026,0
42101011200,112,2023,4.96056384,-0.00587793,3.56234585,0
42101009300,93,2023,4.99367951,-0.55266034,3.53782131,0
42101026100,261,2023,5.51867327,0.99473986,3.51319449,0
42101006500,65,2023,5.86298113,0.07110632,3.46478903,0
42101006000,60,2023,5.37028054,0.49120677,3.4491287,0
42101011300,113,2023,4.82835374,0.72562932,3.4473866,0
42101006700,67,2023,5.23402559,-0.87083234,3.41372228,0
42101024400,244,2023,5.14905228,0.38257505,3.39047676,0
42101024700,247,2023,5.33471366,0.81770917,3.36539172,0
42101029300,293,2023,4.45463492,1.39400547,3.26336278,0
42101028400,284,2023,4.55850125,0.79937001,3.25400324,0
42101008200,82,2023,4.74809351,0.68850287,3.19911036,0
42101027401,274.01,2023,4.23142419,1.59801972,3.1936553,0
42101026600,266,2023,4.70579602,0.15194874,3.1751648,0
42101015600,156,2023,4.64997576,2.50972859,3.13279226,0
42101006200,62,2023,4.49332675,-1.14663135,3.11958731,0
42101028902,289.02,2023,4.64236344,2.00449695,3.10015333,0
42101018800,188,2023,4.00764364,1.74887702,3.08242923,0
42101019200,192,2023,3.69901212,1.70516711,3.06055838,0
42101029000,290,2023,4.4174485,1.36945007,3.04227399,0
42101027600,276,2023,4.09851278,-0.70356211,3.03001898,0
42101027901,279.01,2023,4.26503789,0.42491389,3.02559228,0
42101011800,118,2023,4.41695081,0.53067949,3.01954,0
42101009200,92,2023,4.47797124,-0.90402976,2.98769394,0
42101030000,300,2023,4.25037041,0.4908422,2.95802237,0
